job_id,company,source,title,location,url,date_found,match_score,title_score,description_score,match_reasons
R5051800-2,GE Vernova,workday,GE Vernova Engineering Internship - 2027- Spring/Summer,Rochester,https://gevernova.wd5.myworkdayjobs.com/en-US/Vernova_ExternalSite/job/Rochester/GE-Vernova-Engineering-Internship---2027--Spring-Summer_R5051800-2,2026-09-14,95,47,47,"AI: This is a direct internship role at GE Vernova focused on critical infrastructure communications and hardware testing, which is highly relevant to electrical and power systems engineering."
R5050339-2,GE Vernova,workday,GE Vernova Gas Power Controls Product Management Intern - Summer 2027,Longmont,https://gevernova.wd5.myworkdayjobs.com/en-US/Vernova_ExternalSite/job/Longmont/GE-Vernova-Gas-Power-Controls-Product-Management-Intern---Summer-2027_R5050339-2,2026-09-14,90,45,45,"AI: This is an explicit internship role for students in electrical engineering and related technical fields, focusing on power controls."
R5050963-2,GE Vernova,workday,Intern – Hot Gas Path Value Engineering & Project Management,Greenville,https://gevernova.wd5.myworkdayjobs.com/en-US/Vernova_ExternalSite/job/Greenville/Intern---Hot-Gas-Path-Value-Engineering---Project-Management_R5050963-2,2026-09-14,85,42,42,"AI: This is a highly relevant internship for an engineering student focusing on hardware, manufacturing, and power generation components like gas turbine blades and nozzles."
R5052047-2,GE Vernova,workday,Working Student / Internship (f/m/d) – OT Cybersecurity & Vulnerability Management,Berlin,https://gevernova.wd5.myworkdayjobs.com/en-US/Vernova_ExternalSite/job/Berlin/Working-Student---Internship--f-m-d----OT-Cybersecurity---Vulnerability-Management_R5052047-2,2026-09-14,85,42,42,"AI: The role is explicitly an internship/working student position involving OT cybersecurity and energy systems, making it a strong fit for students in electrical engineering or related fields with an interest in infrastructure security."
R5049016-3,GE Vernova,workday,GE Vernova Nuclear - Manufacturing Intern (Summer 2027),Wilmington NC USA,https://gevernova.wd5.myworkdayjobs.com/en-US/Vernova_ExternalSite/job/Wilmington-NC-USA/GE-Vernova-Nuclear---Manufacturing---Supply-Chain-Intern--Summer-2027-_R5049016-3,2026-09-14,90,45,45,"AI: This is an explicitly stated internship role within the energy and manufacturing sector, open to electrical engineering students."
R5051631,GE Vernova,workday,GE Vernova - Advanced Nuclear Project Management Intern - Summer 2027,Wilmington NC USA,https://gevernova.wd5.myworkdayjobs.com/en-US/Vernova_ExternalSite/job/Wilmington-NC-USA/GE-Vernova---Advanced-Nuclear-Project-Management-Intern---Summer-2027_R5051631,2026-09-14,85,42,42,AI: This is a highly relevant internship in the nuclear power sector that leverages technical engineering expertise for project management roles.
R5051833-2,GE Vernova,workday,GE Vernova Hitachi Nuclear Energy Sourcing Intern - Summer 2027,Wilmington NC USA,https://gevernova.wd5.myworkdayjobs.com/en-US/Vernova_ExternalSite/job/Wilmington-NC-USA/GE-Vernova-Hitachi-Nuclear-Energy-Sourcing-Intern---Summer-2027_R5051833-2,2026-09-14,75,37,37,"AI: This is an internship role accepting Electrical Engineering students, though the primary focus is on sourcing and supply chain rather than core technical design."
R5050016-2,GE Vernova,workday,GE Vernova WIND Project Management - Internship 2027,Schenectady,https://gevernova.wd5.myworkdayjobs.com/en-US/Vernova_ExternalSite/job/Schenectady/GE-Vernova-WIND-Project-Management---Internship-2027_R5050016-2,2026-09-14,85,42,42,"AI: This is a direct internship opportunity within the power and renewable energy sector, highly relevant for an engineering student despite the focus on project management."
R5050581-1,GE Vernova,workday,GE Vernova WIND Internship-2027,Schenectady,https://gevernova.wd5.myworkdayjobs.com/en-US/Vernova_ExternalSite/job/Schenectady/GE-Vernova-WIND-Internship-2027_R5050581-1,2026-09-14,75,37,37,"AI: This is an internship role at GE Vernova in the wind energy sector involving electrical and project execution tasks, making it a good fit for an engineering student or new grad."
R5050475-2,GE Vernova,workday,GE Vernova WIND - Internship 2027,Schenectady,https://gevernova.wd5.myworkdayjobs.com/en-US/Vernova_ExternalSite/job/Schenectady/GE-Vernova-WIND---Internship-2027_R5050475-2,2026-09-14,85,42,42,"AI: This is a direct internship role at a major power systems company, though the focus is more on technical training and field operations rather than pure electrical design."
R5050201-3,GE Vernova,workday,GE Vernova Top Issues Program Management Internship – 2027,Schenectady,https://gevernova.wd5.myworkdayjobs.com/en-US/Vernova_ExternalSite/job/Schenectady/GE-Vernova-Top-Issues-Program-Management-Internship---2027_R5050201-3,2026-09-14,90,45,45,"AI: This is an internship position at GE Vernova focusing on wind turbine fleet reliability, retrofits, and basic electrical/mechanical/controls engineering principles, making it an excellent fit for a power systems or electrical engineering student."
